isJunior,lensColor,img,isFindInStore,isCustomizable,roxableLabel,brand,imgHover,isPolarized,colorsNumber,isOutOfStock,modelName,isEngravable,localizedColorLabel,name,listPrice,offerPrice
False,Black,https://assets.sunglasshut.com/is/image/LuxotticaRetail/700285128566__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Oakley,https://assets.sunglasshut.com/is/image/LuxotticaRetail/700285128566__002.png?impolicy=SGH_bgtransparent&width=640,True,10 colors,False,OO9014 Gascan®,False,Black/Black,OO9014 Gascan®,$180.00,
False,Brown Classic B-15,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597260299__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597260299__002.png?impolicy=SGH_bgtransparent&width=640,False,5 colors,False,RB3016 CLUBMASTER CLASSIC,False,Tortoise/Brown,RB3016 CLUBMASTER CLASSIC,$163.00,
False,Green,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289304449__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289304449__002.png?impolicy=SGH_bgtransparent&width=640,False,3 colors,False,RB3016 Clubmaster Classic,False,Black/Green,RB3016 Clubmaster Classic,$163.00,
False,Dark Grey,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597440240__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Prada,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597440240__002.png?impolicy=SGH_bgtransparent&width=640,False,2 colors,False,PR 19WS,False,Black/Grey,PR 19WS,$433.00,
False,Dark Grey,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597537568__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Dolce&Gabbana,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597537568__002.png?impolicy=SGH_bgtransparent&width=640,False,2 colors,False,DG4388,False,Black/Grey,DG4388,$317.00,
False,Green,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672210798__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672210798__002.png?impolicy=SGH_bgtransparent&width=640,True,6 colors,False,RB2132 New Wayfarer Classic,False,Black/Green,RB2132 New Wayfarer Classic,$201.00,
False,Dark Blue Polarized,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597662031__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597662031__002.png?impolicy=SGH_bgtransparent&width=640,True,11 colors,False,RB2132 NEW WAYFARER CLASSIC,False,Grey/Blue,RB2132 NEW WAYFARER CLASSIC,$201.00,
False,Grey Polar,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597266086__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Versace,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597266086__002.png?impolicy=SGH_bgtransparent&width=640,True,3 colors,False,VE2150Q,False,Gold/Grey,VE2150Q,$381.00,
False,Polar Dark Grey,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597415934__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Dolce&Gabbana,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597415934__002.png?impolicy=SGH_bgtransparent&width=640,True,1 Color,False,DG6147,False,Black/Grey,DG6147,$312.00,$218.40
False,Prizm Sapphire Polarized,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392575517__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Oakley,https://assets.sunglasshut.com/is/image/LuxotticaRetail/888392575517__002.png?impolicy=SGH_bgtransparent&width=640,True,6 colors,False,OO9129 Cables,False,Transparent/Blue,OO9129 Cables,$190.00,
