isjunior,lenscolor,img,isfindinstore,iscustomizable,roxablelabel,brand,imghover,ispolarized,colorsnumber,isoutofstock,modelname,isengravable,localizedcolorlabel,listprice,offerprice
False,Grey,https://assets.sunglasshut.com/is/image/LuxotticaRetail/679420489230__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Prada,https://assets.sunglasshut.com/is/image/LuxotticaRetail/679420489230__002.png?impolicy=SGH_bgtransparent&width=640,True,3,False,PR 01OS CONCEPTUAL,True,Black/Grey,329.00,
False,Blue,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597077286__001.png?impolicy=SGH_bgtransparent&width=640,True,True,,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597077286__002.png?impolicy=SGH_bgtransparent&width=640,False,12,False,RB3548N HEXAGONAL FLAT LENSES,False,Gold/Blue,178.00,
False,Green,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672611649__001.png?impolicy=SGH_bgtransparent&width=640,True,True,,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672611649__002.png?impolicy=SGH_bgtransparent&width=640,False,1,False,RB3548N Hexagonal Flat Lenses,False,Gold/Green,163.00,
False,Clear Gradient Brown,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597436090__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Prada,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597436090__002.png?impolicy=SGH_bgtransparent&width=640,False,4,False,PR 14WS,False,Red/Brown,391.00,195.50
False,Grey Gradient,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597371889__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Dolce&Gabbana,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597371889__002.png?impolicy=SGH_bgtransparent&width=640,False,2,False,DG4384,False,Black/Grey,290.00,
False,Grey,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289206071__001.png?impolicy=SGH_bgtransparent&width=640,True,False,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/805289206071__002.png?impolicy=SGH_bgtransparent&width=640,False,1,False,RB4098 Jackie Ohh II,False,Black/Grey,178.00,
False,Grey,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597313193__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Burberry,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597313193__002.png?impolicy=SGH_bgtransparent&width=640,False,2,True,BE4312 FRITH,False,Black/Grey,397.00,
False,Grey Gradient,https://assets.sunglasshut.com/is/image/LuxotticaRetail/889652090467__001.png?impolicy=SGH_bgtransparent&width=640,True,False,,Gucci,https://assets.sunglasshut.com/is/image/LuxotticaRetail/889652090467__002.png?impolicy=SGH_bgtransparent&width=640,False,1,False,GG0225S,False,Gold/Grey,520.00,364.00
False,Gradient Grey,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597693202__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8056597693202__002.png?impolicy=SGH_bgtransparent&width=640,False,5,False,RB2140 ORIGINAL WAYFARER BIO-ACETATE,False,Grey/Grey,198.00,
False,Green,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672793659__001.png?impolicy=SGH_bgtransparent&width=640,True,True,Available for prescription,Ray-Ban,https://assets.sunglasshut.com/is/image/LuxotticaRetail/8053672793659__002.png?impolicy=SGH_bgtransparent&width=640,False,6,False,RB4171 ERIKA CLASSIC,False,Black/Brown,155.00,
